Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
Female,Loyal Customer,25,Personal Travel,Eco,481,0,1,0,3,2,0,2,2,1,4,4,4,3,2,0,0.0
Male,Loyal Customer,26,Business travel,Business,554,1,4,4,4,1,1,1,1,4,5,4,1,4,1,14,10.0
Male,Loyal Customer,58,Personal Travel,Eco,727,5,3,5,3,4,5,5,4,1,3,3,4,3,4,0,0.0
Male,Loyal Customer,44,Business travel,Business,2254,1,1,5,1,2,4,4,4,4,5,4,5,4,3,0,4.0
Female,Loyal Customer,35,Business travel,Business,868,2,3,3,3,1,3,4,2,2,2,2,4,2,2,0,0.0
Male,Loyal Customer,52,Business travel,Business,192,4,4,4,4,5,3,1,4,4,4,4,3,4,1,0,0.0
Female,Loyal Customer,57,Business travel,Business,1618,3,3,3,3,3,1,2,5,5,5,5,3,5,1,32,45.0
Male,Loyal Customer,29,Business travel,Business,2218,3,3,2,3,3,3,3,3,4,3,5,4,4,3,0,0.0
Female,Loyal Customer,55,Business travel,Business,2586,4,5,4,4,5,5,5,3,5,4,5,5,3,5,0,0.0
Male,Loyal Customer,46,Business travel,Eco,299,1,5,5,5,1,1,1,1,2,2,2,4,3,1,0,0.0
Male,Loyal Customer,48,Personal Travel,Eco,308,3,3,3,3,1,3,4,1,1,3,4,1,4,1,0,0.0
Male,Loyal Customer,9,Personal Travel,Eco,631,4,4,4,3,1,4,1,1,4,2,5,3,5,1,30,17.0
Male,Loyal Customer,26,Business travel,Business,3871,5,5,5,5,5,5,5,5,1,5,3,1,2,5,0,0.0
Male,Loyal Customer,36,Business travel,Eco,669,5,3,1,3,5,5,5,5,1,5,5,5,4,5,0,0.0
Female,Loyal Customer,28,Business travel,Business,1529,4,4,4,4,4,5,4,4,5,3,2,2,2,4,1,0.0
Female,Loyal Customer,48,Business travel,Eco,784,1,4,4,4,1,3,2,1,1,1,1,4,1,2,0,0.0
Male,Loyal Customer,38,Business travel,Eco,1074,4,1,1,1,4,4,4,4,1,1,4,3,3,4,21,32.0
Female,Loyal Customer,46,Personal Travel,Eco,1046,4,4,4,3,1,3,3,5,5,4,5,4,5,5,0,0.0
Female,Loyal Customer,55,Business travel,Business,3068,5,5,4,5,3,5,5,5,5,5,5,5,5,5,0,0.0
Female,Loyal Customer,34,Business travel,Business,370,5,5,3,5,3,4,4,5,5,5,5,3,5,5,0,6.0
Female,Loyal Customer,10,Business travel,Eco,577,3,2,2,2,3,4,4,3,2,3,3,2,3,3,0,6.0
Male,Loyal Customer,46,Business travel,Business,2916,2,4,4,4,2,2,2,1,3,2,1,2,3,2,185,172.0
Female,Loyal Customer,57,Business travel,Business,1590,3,3,3,3,4,4,4,5,4,4,5,4,5,4,146,164.0
Male,Loyal Customer,69,Personal Travel,Eco,1276,3,4,3,3,5,3,5,5,5,2,4,3,3,5,0,0.0
Male,Loyal Customer,58,Business travel,Eco Plus,266,3,2,2,2,3,3,3,3,3,5,4,2,4,3,4,10.0
Female,disloyal Customer,30,Business travel,Business,1205,3,3,3,1,1,3,1,1,4,3,4,3,5,1,47,34.0
Male,Loyal Customer,43,Business travel,Business,2089,1,1,1,1,3,3,4,4,4,4,4,5,4,4,0,0.0
Female,disloyal Customer,21,Business travel,Eco,316,1,5,1,2,3,1,3,3,5,5,5,4,5,3,0,0.0
Male,Loyal Customer,50,Business travel,Business,3758,1,1,1,1,4,4,4,5,5,5,4,5,5,3,23,14.0
Male,Loyal Customer,34,Business travel,Eco Plus,359,4,4,4,4,4,4,4,4,2,3,3,5,2,4,0,0.0
Male,Loyal Customer,40,Business travel,Business,2235,1,3,1,3,2,3,3,2,2,2,1,2,2,4,0,0.0
Female,Loyal Customer,61,Business travel,Eco Plus,399,2,4,5,4,3,3,3,2,2,2,2,3,2,4,0,0.0
Female,disloyal Customer,28,Business travel,Eco,500,3,3,4,4,4,4,3,4,3,1,3,5,1,4,0,0.0
Female,Loyal Customer,44,Business travel,Business,3790,5,5,5,5,5,5,5,3,3,3,3,4,3,5,0,0.0
Male,Loyal Customer,50,Business travel,Business,849,2,2,2,2,2,5,5,5,5,5,5,4,5,5,30,16.0
Female,Loyal Customer,9,Personal Travel,Eco,1276,0,2,0,3,3,0,3,3,1,1,2,3,3,3,0,0.0
Female,disloyal Customer,25,Business travel,Business,1020,3,5,3,3,2,3,2,2,4,5,5,4,4,2,0,0.0
Male,Loyal Customer,29,Business travel,Eco Plus,954,2,5,4,5,2,2,2,2,1,5,4,4,4,2,0,0.0
Female,disloyal Customer,20,Business travel,Eco,196,5,0,5,3,4,5,3,4,2,3,5,1,2,4,0,0.0
Male,Loyal Customer,50,Business travel,Business,1127,2,2,2,2,2,4,4,2,2,3,2,5,2,5,0,0.0
Female,Loyal Customer,70,Personal Travel,Eco,594,2,3,2,3,5,5,5,3,3,2,3,4,3,3,24,10.0
Female,Loyal Customer,33,Personal Travel,Eco,1195,4,2,4,3,3,4,5,3,2,4,4,1,4,3,48,34.0
Female,Loyal Customer,21,Personal Travel,Eco,377,1,1,1,2,1,2,4,3,4,2,3,4,3,4,315,297.0
Male,Loyal Customer,40,Business travel,Business,1965,2,2,2,2,1,1,5,4,4,4,4,2,4,5,0,0.0
Female,Loyal Customer,57,Personal Travel,Eco,984,5,5,5,3,5,4,4,4,4,5,4,5,4,4,0,0.0
Female,Loyal Customer,52,Business travel,Business,2953,2,2,2,2,3,4,5,5,5,5,5,4,5,5,10,2.0
Male,Loyal Customer,45,Business travel,Business,2565,5,5,4,5,3,3,3,3,4,4,4,3,3,3,6,0.0
Female,Loyal Customer,63,Business travel,Business,333,4,4,4,4,2,4,4,4,4,4,4,5,4,5,17,7.0
Male,Loyal Customer,30,Business travel,Business,3386,4,4,4,4,4,4,4,4,4,2,4,4,5,4,31,10.0
Female,Loyal Customer,29,Business travel,Eco Plus,261,4,5,5,5,4,4,4,4,2,4,3,5,2,4,0,0.0
Female,Loyal Customer,48,Business travel,Business,1972,5,4,4,4,1,2,2,1,1,2,5,1,1,1,0,0.0
Female,Loyal Customer,13,Personal Travel,Eco,273,3,2,3,3,2,3,4,2,2,4,4,3,3,2,0,0.0
Female,Loyal Customer,66,Business travel,Business,2573,3,5,5,5,1,2,2,3,3,3,3,1,3,2,0,0.0
Male,disloyal Customer,14,Business travel,Eco,563,1,3,1,3,5,1,5,5,3,2,3,2,4,5,0,0.0
Female,Loyal Customer,69,Personal Travel,Eco Plus,425,3,5,3,3,4,5,4,2,2,3,2,4,2,4,3,9.0
Female,Loyal Customer,51,Business travel,Business,349,1,1,1,1,4,5,5,4,4,5,4,4,4,3,10,0.0
Female,disloyal Customer,26,Business travel,Eco,643,3,4,3,4,5,3,5,5,4,4,4,3,3,5,0,0.0
Male,Loyal Customer,61,Business travel,Eco,484,4,2,2,2,4,4,4,4,1,5,5,1,3,4,25,22.0
Female,Loyal Customer,41,Business travel,Business,2436,5,5,5,5,5,4,4,5,5,5,5,4,5,4,0,0.0
Female,Loyal Customer,59,Personal Travel,Eco,1558,2,4,3,3,5,3,5,4,4,3,4,3,4,4,6,12.0
Female,Loyal Customer,51,Personal Travel,Eco,402,2,4,2,2,2,5,4,2,2,2,2,4,2,5,0,0.0
Male,disloyal Customer,36,Business travel,Eco,542,2,0,2,2,2,3,3,3,5,3,2,3,1,3,202,184.0
Female,disloyal Customer,23,Business travel,Eco,967,4,4,4,3,3,4,3,3,4,5,4,4,5,3,2,0.0
Male,Loyal Customer,9,Personal Travel,Eco,224,4,5,0,3,3,0,3,3,5,2,5,4,5,3,62,68.0
Female,Loyal Customer,41,Business travel,Eco,472,4,4,4,4,4,4,4,4,4,5,1,5,4,4,11,8.0
Female,Loyal Customer,68,Personal Travel,Eco,1892,5,2,5,3,4,4,4,2,2,5,2,1,2,1,0,0.0
Female,Loyal Customer,29,Business travel,Business,1475,1,5,5,5,1,1,1,1,1,3,3,3,3,1,0,0.0
Female,Loyal Customer,58,Personal Travel,Eco,255,4,4,4,4,5,1,3,3,3,4,4,2,3,1,0,10.0
Female,Loyal Customer,32,Business travel,Business,3051,5,5,5,5,2,2,2,2,5,5,2,2,3,2,0,0.0
Female,disloyal Customer,25,Business travel,Business,813,3,0,3,1,1,3,1,1,5,5,5,4,4,1,0,0.0
Male,Loyal Customer,62,Personal Travel,Eco,404,4,4,4,3,4,4,4,4,5,3,5,4,4,4,0,0.0
Male,Loyal Customer,34,Business travel,Eco,542,5,1,1,1,5,4,5,5,4,4,3,1,4,5,119,119.0
Male,Loyal Customer,44,Personal Travel,Eco,1671,1,4,1,4,5,1,2,5,2,2,4,2,4,5,4,0.0
Female,Loyal Customer,41,Business travel,Business,1611,4,4,4,4,2,5,5,4,4,4,4,3,4,5,0,4.0
Male,disloyal Customer,22,Business travel,Eco,1303,1,1,1,3,2,1,2,2,3,3,4,4,5,2,0,3.0
Female,Loyal Customer,51,Business travel,Business,655,1,1,1,1,5,1,5,4,4,4,4,3,4,1,7,1.0
Female,Loyal Customer,51,Business travel,Business,3483,4,4,4,4,4,5,1,3,3,4,3,5,3,4,0,0.0
Male,disloyal Customer,40,Business travel,Business,327,5,5,5,1,5,5,5,5,3,2,5,3,5,5,5,0.0
Female,Loyal Customer,67,Personal Travel,Eco Plus,483,1,5,5,5,3,4,5,2,2,5,1,4,2,1,5,0.0
Female,Loyal Customer,47,Business travel,Business,1737,5,3,5,5,3,5,4,4,4,4,4,4,4,4,0,0.0
Female,Loyal Customer,23,Business travel,Business,391,4,4,4,4,4,4,4,4,3,2,3,2,3,4,27,34.0
Female,Loyal Customer,36,Business travel,Business,2689,5,5,5,5,4,1,5,4,4,4,4,3,4,3,0,0.0
Male,Loyal Customer,26,Business travel,Business,986,2,3,4,4,2,2,2,2,4,2,3,4,4,2,17,30.0
Female,Loyal Customer,45,Business travel,Business,2904,1,1,1,1,5,5,5,5,5,5,5,4,5,3,9,0.0
Male,Loyal Customer,59,Business travel,Eco,395,5,5,5,5,5,5,5,5,4,3,2,2,2,5,3,1.0
Female,Loyal Customer,54,Business travel,Business,2710,1,1,1,1,3,4,5,4,4,4,4,4,4,3,4,0.0
Male,Loyal Customer,32,Business travel,Eco,2342,3,1,1,1,3,3,3,4,2,2,3,3,2,3,0,22.0
Female,Loyal Customer,30,Business travel,Business,944,3,3,3,3,3,4,3,3,4,4,4,2,2,3,0,0.0
Male,Loyal Customer,48,Personal Travel,Business,1986,4,4,4,4,5,1,2,2,2,4,2,4,2,2,40,31.0
Male,Loyal Customer,46,Business travel,Business,1635,2,2,2,2,5,3,4,2,2,2,2,4,2,3,21,1.0
Female,Loyal Customer,39,Business travel,Business,127,2,3,3,3,3,4,3,1,1,1,2,3,1,2,19,7.0
Male,Loyal Customer,56,Business travel,Business,1235,5,5,5,5,5,4,5,5,5,5,5,3,5,4,0,0.0
Female,Loyal Customer,49,Personal Travel,Eco,468,3,4,2,2,4,4,4,3,3,2,3,4,3,4,17,24.0
Male,Loyal Customer,45,Business travel,Business,460,4,4,4,4,4,5,5,4,4,4,4,4,4,5,0,0.0
Male,Loyal Customer,67,Personal Travel,Eco,270,1,4,1,5,3,1,3,3,4,3,5,4,4,3,0,2.0
Male,Loyal Customer,50,Business travel,Business,1597,4,4,4,4,4,3,5,4,4,4,4,5,4,3,0,0.0
Male,Loyal Customer,48,Business travel,Business,2923,5,5,5,5,5,5,4,4,4,4,4,5,4,4,6,0.0
Male,Loyal Customer,54,Business travel,Business,3658,3,1,1,1,5,3,4,3,3,3,3,1,3,2,43,55.0
Female,Loyal Customer,16,Personal Travel,Eco,399,2,4,2,5,2,2,2,2,3,4,4,3,5,2,26,43.0
Male,Loyal Customer,21,Business travel,Business,3711,2,2,2,2,5,5,5,3,3,3,4,5,3,5,40,20.0
Female,Loyal Customer,44,Business travel,Business,3567,2,2,2,2,1,4,3,2,2,3,2,2,2,1,79,81.0
Male,Loyal Customer,56,Business travel,Business,3622,3,3,3,3,4,5,4,3,3,3,3,3,3,5,14,24.0
Male,Loyal Customer,9,Personal Travel,Eco,408,4,5,4,2,2,4,2,2,3,5,5,5,5,2,0,0.0
Female,Loyal Customer,48,Business travel,Business,760,5,5,5,5,1,4,1,5,5,5,5,3,5,1,49,56.0
Male,Loyal Customer,42,Personal Travel,Eco,2248,1,5,1,4,5,1,5,5,3,5,3,3,5,5,1,0.0
Female,disloyal Customer,24,Business travel,Eco,1244,3,3,3,1,3,3,3,3,4,1,5,3,5,3,0,0.0
Female,disloyal Customer,15,Business travel,Eco,733,4,4,4,2,4,4,4,4,4,2,5,5,5,4,0,0.0
Female,Loyal Customer,12,Personal Travel,Eco,160,2,4,0,1,3,0,3,3,4,4,5,4,5,3,0,0.0
Male,disloyal Customer,30,Business travel,Business,1482,0,0,0,1,5,0,4,5,4,4,4,5,4,5,38,35.0
Male,Loyal Customer,57,Business travel,Eco Plus,216,2,5,5,5,2,2,2,2,1,4,4,1,4,2,1,0.0
Male,Loyal Customer,43,Business travel,Eco,2133,3,4,5,4,3,3,3,3,2,1,2,3,4,3,0,4.0
Male,Loyal Customer,10,Personal Travel,Eco Plus,179,2,4,2,2,5,2,5,5,5,4,4,4,4,5,63,82.0
Female,disloyal Customer,37,Business travel,Business,370,2,2,2,1,5,2,5,5,4,4,5,3,4,5,111,102.0
Male,Loyal Customer,55,Business travel,Business,2329,1,1,1,1,3,3,5,4,4,4,4,4,4,4,5,0.0
Female,Loyal Customer,15,Personal Travel,Eco,601,4,5,4,1,2,4,5,2,5,4,5,3,5,2,0,0.0
Male,Loyal Customer,34,Personal Travel,Eco,200,3,1,3,3,2,3,2,2,2,2,2,1,3,2,0,0.0
Male,Loyal Customer,26,Business travel,Eco,1068,4,3,3,3,4,4,2,4,3,5,3,1,3,4,48,43.0
Male,Loyal Customer,43,Business travel,Business,1605,1,1,1,1,4,3,3,3,2,4,5,3,5,3,181,160.0
Male,disloyal Customer,48,Business travel,Business,1986,3,4,4,2,3,3,3,3,4,4,4,3,5,3,0,17.0
Female,Loyal Customer,10,Personal Travel,Eco,301,2,4,4,3,4,4,4,4,1,5,1,2,3,4,0,0.0
Female,Loyal Customer,51,Business travel,Eco,191,4,4,4,4,1,3,2,4,4,4,4,3,4,1,10,9.0
Female,disloyal Customer,20,Business travel,Eco Plus,270,3,2,3,4,5,3,5,5,2,4,4,4,3,5,0,9.0
Male,Loyal Customer,29,Personal Travel,Eco,148,3,4,3,3,1,3,1,1,3,5,5,5,4,1,4,0.0
Male,Loyal Customer,36,Business travel,Business,546,3,3,3,3,5,4,5,4,4,4,4,3,4,4,0,0.0
Female,Loyal Customer,25,Business travel,Eco,342,5,4,4,4,5,5,5,5,3,1,2,4,1,5,37,33.0
Female,disloyal Customer,49,Business travel,Eco,187,1,4,1,4,4,1,4,4,1,1,3,1,3,4,0,0.0
Female,Loyal Customer,25,Business travel,Business,3496,3,2,2,2,3,3,3,3,2,4,3,2,2,3,0,0.0
Female,Loyal Customer,53,Business travel,Eco,1201,3,3,3,3,2,4,4,3,3,3,3,2,3,2,0,13.0
Male,disloyal Customer,12,Business travel,Eco,2486,1,1,1,4,1,1,1,1,2,3,3,1,3,1,1,4.0
Female,Loyal Customer,45,Business travel,Business,1943,4,4,2,4,4,5,2,5,5,5,5,3,5,3,0,6.0
Female,Loyal Customer,48,Business travel,Business,1334,4,1,1,1,1,2,3,4,4,3,4,1,4,2,0,0.0
Male,disloyal Customer,31,Business travel,Eco,1441,1,1,1,3,3,1,3,3,1,4,4,1,3,3,18,6.0
Female,disloyal Customer,27,Business travel,Business,293,2,2,2,4,3,2,3,3,5,5,4,4,5,3,5,4.0
Male,disloyal Customer,37,Business travel,Eco,615,1,1,1,4,1,1,1,1,4,4,4,3,4,1,14,28.0
Male,Loyal Customer,54,Personal Travel,Eco,408,3,5,2,3,3,2,3,3,4,2,4,5,4,3,0,0.0
Male,disloyal Customer,26,Business travel,Eco,692,1,0,0,4,3,0,3,3,3,4,3,2,3,3,4,6.0
Male,Loyal Customer,57,Business travel,Business,3428,4,4,4,4,3,4,4,4,4,4,4,3,4,5,0,0.0
Male,Loyal Customer,41,Personal Travel,Eco,862,2,4,2,4,4,2,4,4,3,5,4,4,5,4,0,3.0
Female,Loyal Customer,39,Business travel,Business,1969,4,4,4,4,5,5,4,2,2,2,2,5,2,4,0,0.0
Male,Loyal Customer,17,Business travel,Business,3674,4,4,4,4,4,4,4,4,4,4,4,5,5,4,0,0.0
Male,Loyal Customer,38,Business travel,Eco Plus,287,3,3,2,2,3,3,3,3,4,5,4,2,4,3,10,18.0
Male,disloyal Customer,22,Business travel,Eco,488,3,5,3,3,2,3,2,2,3,2,4,3,4,2,70,53.0
Female,disloyal Customer,30,Business travel,Eco,944,3,3,3,3,1,3,1,1,2,2,4,3,3,1,0,0.0
Male,Loyal Customer,53,Business travel,Business,3460,1,1,1,1,4,4,4,4,4,4,4,5,4,3,0,0.0
Male,Loyal Customer,44,Personal Travel,Eco Plus,772,4,4,4,3,2,4,2,2,2,5,1,2,1,2,0,0.0
Female,Loyal Customer,41,Personal Travel,Eco,187,3,4,3,2,5,3,5,5,4,5,5,3,4,5,0,0.0
Male,Loyal Customer,58,Personal Travel,Eco,946,1,4,1,4,3,1,3,3,1,2,5,2,5,3,0,5.0
Male,Loyal Customer,58,Business travel,Business,3783,5,5,3,5,4,5,4,3,3,3,3,4,3,5,0,13.0
Female,disloyal Customer,25,Business travel,Business,2077,5,0,5,3,2,5,2,2,4,2,4,5,4,2,0,0.0
Male,Loyal Customer,41,Business travel,Business,296,3,3,3,3,5,5,5,4,4,4,4,4,4,5,0,11.0
Female,disloyal Customer,21,Business travel,Eco,502,3,1,2,2,2,2,2,2,3,5,3,3,3,2,43,49.0
Female,Loyal Customer,48,Personal Travel,Eco,2300,2,5,2,3,2,3,3,4,4,5,5,3,3,3,0,0.0
Male,Loyal Customer,17,Personal Travel,Eco,345,1,1,1,4,3,1,3,3,3,1,4,2,4,3,0,0.0
Female,disloyal Customer,36,Business travel,Eco Plus,236,3,3,3,3,2,3,2,2,1,1,4,3,3,2,0,0.0
Female,Loyal Customer,46,Business travel,Business,3065,2,2,2,2,5,4,4,5,5,5,5,5,5,3,0,0.0
Female,disloyal Customer,38,Business travel,Eco,191,2,0,2,3,1,2,1,1,2,1,2,1,3,1,42,39.0
Male,Loyal Customer,37,Personal Travel,Eco,580,0,2,0,2,1,0,1,1,3,3,2,3,2,1,0,0.0
Female,Loyal Customer,35,Business travel,Eco,448,4,1,1,1,4,4,4,4,2,3,4,2,1,4,0,0.0
Male,Loyal Customer,33,Business travel,Eco,280,0,0,0,3,3,0,4,3,3,3,1,1,1,3,0,0.0
